GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
IFI16	0.006	0.003	0.000	0.003	N	NA	0.7353243932	0.006	0.003	0.000	0.003
MXD1	0.003	0.003	0.000	0.000	N	NA	0.7313668923	0.003	0.003	0.000	0.000
STAT3	0.003	0.003	0.000	0.000	N	NA	0.7313668923	0.003	0.003	0.000	0.000
NRXN1	0.003	0.003	0.000	0.000	N	NA	0.7267669539	0.015	0.015	0.000	0.000
EIF4A1	0.003	0.003	0.000	0.000	N	NA	0.7267669539	0.003	0.003	0.000	0.000
GRB2	0.003	0.000	0.000	0.003	N	NA	0.7221342382	0.003	0.000	0.000	0.003
NCF1	0.003	0.003	0.000	0.000	N	NA	0.7221342382	0.018	0.003	0.000	0.015
CDC23	0.003	0.003	0.000	0.000	N	NA	0.7069016015	0.003	0.003	0.000	0.000
PLAT	0.003	0.003	0.000	0.000	N	NA	0.7069016015	0.006	0.006	0.000	0.000
ITGA1	0.003	0.003	0.000	0.000	N	NA	0.7069016015	0.006	0.006	0.000	0.000
PRKCD	0.003	0.003	0.000	0.000	N	NA	0.7035790115	0.009	0.009	0.000	0.000
ITGAM	0.003	0.003	0.000	0.000	N	NA	0.6954619212	0.015	0.015	0.000	0.000
CACNA1I	0.009	0.006	0.003	0.000	N	NA	0.6709386318	0.012	0.009	0.003	0.000
NEFH	0.003	0.003	0.000	0.000	N	NA	0.6515254656	0.006	0.006	0.000	0.000
POU2F1	0.003	0.003	0.000	0.000	N	NA	0.6515254656	0.006	0.006	0.000	0.000
NGF	0.006	0.003	0.003	0.000	N	NA	0.6463779358	0.006	0.003	0.003	0.000
BMI1	0.003	0.000	0.000	0.003	N	NA	0.6407339582	0.015	0.000	0.012	0.003
PPP2R5D	0.003	0.003	0.000	0.000	N	NA	0.6407339582	0.003	0.003	0.000	0.000
MCM5	0.003	0.000	0.003	0.000	N	NA	0.6350302127	0.009	0.006	0.003	0.000
YWHAH	0.003	0.000	0.003	0.000	N	NA	0.6350302127	0.003	0.000	0.003	0.000
STAT1	0.003	0.003	0.000	0.000	N	NA	0.6350302127	0.006	0.006	0.000	0.000
PPP3CC	0.003	0.000	0.003	0.000	N	NA	0.6084359035	0.003	0.000	0.003	0.000
COL6A1	0.003	0.003	0.000	0.000	N	NA	0.5994614007	0.006	0.006	0.000	0.000
SPN	0.003	0.003	0.000	0.000	N	NA	0.5895138860	0.003	0.003	0.000	0.000
CDC27	0.012	0.012	0.000	0.000	N	NA	0.5828252258	0.015	0.015	0.000	0.000
PCDHGC5	0.085	0.085	0.000	0.000	N	NA	0.5818084049	0.110	0.110	0.000	0.000
RAN	0.003	0.000	0.003	0.000	N	NA	0.5814384994	0.003	0.000	0.003	0.000
EPS8	0.003	0.003	0.000	0.000	N	NA	0.5615626494	0.006	0.003	0.003	0.000
STAT6	0.003	0.000	0.000	0.003	N	NA	0.5615626494	0.021	0.003	0.006	0.012
GNAT3	0.015	0.012	0.000	0.003	N	NA	0.5449258392	0.027	0.012	0.000	0.015
HCLS1	0.003	0.003	0.000	0.000	N	NA	0.5375026441	0.009	0.009	0.000	0.000
PLCB1	0.003	0.003	0.000	0.000	N	NA	0.5375026441	0.003	0.003	0.000	0.000
COL6A3	0.003	0.003	0.000	0.000	N	NA	0.5348805306	0.034	0.034	0.000	0.000
SOS1	0.003	0.003	0.000	0.000	N	NA	0.5296094341	0.003	0.003	0.000	0.000
FBN2	0.006	0.006	0.000	0.000	N	NA	0.5156334770	0.021	0.018	0.003	0.000
MLL	0.003	0.003	0.000	0.000	Y	NA	0.5065213870	0.009	0.009	0.000	0.000
JAK1	0.003	0.003	0.000	0.000	Y	NA	0.4803886130	0.006	0.006	0.000	0.000
IL12RB2	0.003	0.003	0.000	0.000	N	NA	0.4765076091	0.009	0.006	0.000	0.003
MAP2K3	0.003	0.003	0.000	0.000	N	NA	0.4642804698	0.003	0.003	0.000	0.000
GNAO1	0.003	0.003	0.000	0.000	N	NA	0.4642804698	0.003	0.003	0.000	0.000
NEK2	0.006	0.003	0.003	0.000	N	NA	0.4624064992	0.006	0.003	0.003	0.000
SH3GL3	0.003	0.003	0.000	0.000	N	NA	0.4571906991	0.006	0.006	0.000	0.000
SGOL2	0.006	0.006	0.000	0.000	N	NA	0.4533400282	0.012	0.012	0.000	0.000
ITPR1	0.009	0.009	0.000	0.000	N	NA	0.4514643355	0.012	0.012	0.000	0.000
ANAPC7	0.003	0.003	0.000	0.000	N	NA	0.4424623515	0.003	0.003	0.000	0.000
NID1	0.003	0.003	0.000	0.000	N	NA	0.4245061630	0.003	0.003	0.000	0.000
IL7	0.003	0.003	0.000	0.000	N	NA	0.4171600293	0.003	0.003	0.000	0.000
GRB10	0.003	0.003	0.000	0.000	N	NA	0.4171600293	0.027	0.006	0.000	0.021
DNMBP	0.003	0.003	0.000	0.000	N	NA	0.3943983239	0.024	0.012	0.012	0.000
CCL3L1	0.003	0.000	0.003	0.000	N	NA	0.3581174088	0.021	0.000	0.009	0.012
SLC18A2	0.006	0.003	0.003	0.000	N	NA	0.3535307446	0.018	0.003	0.015	0.000
RASGRF1	0.006	0.006	0.000	0.000	N	NA	0.3514809998	0.009	0.009	0.000	0.000
ELAVL2	0.088	0.006	0.082	0.000	N	NA	0.3433767930	0.143	0.006	0.137	0.000
CNTN2	0.003	0.000	0.000	0.003	N	NA	0.3285893208	0.018	0.006	0.000	0.012
TGFBI	0.003	0.003	0.000	0.000	N	NA	0.3217715429	0.003	0.003	0.000	0.000
PCDHAC2	0.055	0.055	0.000	0.000	N	NA	0.3194456753	0.101	0.101	0.000	0.000
GRID2	0.003	0.003	0.000	0.000	N	NA	0.3083666793	0.006	0.006	0.000	0.000
GRIN2C	0.006	0.006	0.000	0.000	N	NA	0.2920543327	0.006	0.006	0.000	0.000
DDB1	0.003	0.003	0.000	0.000	N	NA	0.2878825668	0.003	0.003	0.000	0.000
VAMP3	0.003	0.003	0.000	0.000	N	NA	0.2862784176	0.012	0.003	0.009	0.000
RYR3	0.024	0.024	0.000	0.000	N	NA	0.2708899388	0.052	0.049	0.003	0.000
IGFBP7	0.006	0.000	0.000	0.006	N	NA	0.2554513690	0.015	0.000	0.003	0.012
F10	0.003	0.003	0.000	0.000	N	NA	0.2523361921	0.003	0.003	0.000	0.000
SLC6A3	0.003	0.003	0.000	0.000	N	NA	0.2492913378	0.018	0.012	0.003	0.003
COL4A1	0.003	0.003	0.000	0.000	N	NA	0.2274613779	0.009	0.009	0.000	0.000
CCNF	0.003	0.000	0.000	0.003	N	NA	0.2220092017	0.003	0.000	0.000	0.003
GABRQ	0.003	0.003	0.000	0.000	N	NA	0.2212139445	0.003	0.003	0.000	0.000
F9	0.006	0.006	0.000	0.000	N	NA	0.2060312324	0.009	0.009	0.000	0.000
SP1	0.003	0.003	0.000	0.000	N	NA	0.2056139752	0.003	0.003	0.000	0.000
CCT2	0.012	0.003	0.000	0.009	N	NA	0.2018987909	0.030	0.006	0.000	0.024
CDH18	0.012	0.012	0.000	0.000	N	NA	0.1909513177	0.027	0.027	0.000	0.000
RAF1	0.003	0.003	0.000	0.000	Y	NA	0.1881520124	0.003	0.003	0.000	0.000
LRRC7	0.012	0.012	0.000	0.000	N	NA	0.1830573354	0.015	0.012	0.000	0.003
FAT2	0.018	0.018	0.000	0.000	N	NA	0.1738023004	0.027	0.027	0.000	0.000
FBLN1	0.003	0.003	0.000	0.000	N	NA	0.1463483407	0.012	0.006	0.006	0.000
CALML5	0.009	0.003	0.003	0.003	N	NA	0.1376982025	0.015	0.003	0.009	0.003
PCDHA10	0.018	0.000	0.015	0.003	N	NA	0.1357015523	0.024	0.000	0.021	0.003
MCM4	0.003	0.003	0.000	0.000	N	NA	0.1333635048	0.006	0.006	0.000	0.000
CD1C	0.003	0.000	0.000	0.003	N	NA	0.1281752764	0.006	0.000	0.000	0.006
SMC1A	0.003	0.003	0.000	0.000	N	NA	0.1238817077	0.015	0.012	0.000	0.003
CDH15	0.006	0.006	0.000	0.000	N	NA	0.1236943825	0.006	0.006	0.000	0.000
PCDH15	0.012	0.006	0.006	0.000	N	NA	0.1231927608	0.027	0.009	0.018	0.000
GABRA5	0.006	0.003	0.003	0.000	N	NA	0.1215265229	0.009	0.006	0.003	0.000
SGCB	0.003	0.000	0.000	0.003	N	NA	0.1210542735	0.024	0.000	0.000	0.024
DACH1	0.003	0.003	0.000	0.000	N	NA	0.1090282965	0.006	0.003	0.003	0.000
ERCC6L	0.003	0.003	0.000	0.000	N	NA	0.1079115868	0.006	0.006	0.000	0.000
RAB3GAP2	0.003	0.003	0.000	0.000	N	NA	0.1014668462	0.012	0.009	0.003	0.000
GABBR2	0.003	0.003	0.000	0.000	N	NA	0.0996946444	0.006	0.006	0.000	0.000
KIR3DL2	0.003	0.003	0.000	0.000	N	NA	0.0977823824	0.018	0.015	0.003	0.000
SLC26A8	0.006	0.006	0.000	0.000	N	NA	0.0937184255	0.012	0.009	0.000	0.003
TUBA4B	0.003	0.003	0.000	0.000	N	NA	0.0896039653	0.003	0.003	0.000	0.000
CD79B	0.003	0.000	0.003	0.000	Y	NA	0.0893676537	0.006	0.000	0.006	0.000
CACNA1S	0.012	0.009	0.000	0.003	N	NA	0.0892625066	0.027	0.024	0.000	0.003
MAP3K4	0.009	0.006	0.003	0.000	N	NA	0.0867416238	0.009	0.006	0.003	0.000
HMHA1	0.003	0.003	0.000	0.000	N	NA	0.0859943342	0.009	0.006	0.003	0.000
PCDHA8	0.006	0.000	0.003	0.003	N	NA	0.0858069183	0.012	0.000	0.003	0.009
EPHA1	0.003	0.003	0.000	0.000	N	NA	0.0822012401	0.009	0.003	0.000	0.006
GABRB3	0.003	0.003	0.000	0.000	N	NA	0.0818949334	0.021	0.018	0.003	0.000
GRASP	0.003	0.000	0.000	0.003	N	NA	0.0808343437	0.003	0.000	0.000	0.003
BARD1	0.003	0.003	0.000	0.000	N	NA	0.0796695278	0.006	0.006	0.000	0.000
HLF	0.003	0.003	0.000	0.000	Y	NA	0.0780464685	0.003	0.003	0.000	0.000
SNAPIN	0.003	0.000	0.000	0.003	N	NA	0.0749199383	0.003	0.000	0.000	0.003
PLCG2	0.003	0.003	0.000	0.000	N	NA	0.0728634675	0.009	0.009	0.000	0.000
PCDH19	0.009	0.009	0.000	0.000	N	NA	0.0717196561	0.018	0.018	0.000	0.000
DDIT3	0.006	0.000	0.000	0.006	Y	NA	0.0713945048	0.073	0.003	0.003	0.067
AMPH	0.003	0.003	0.000	0.000	N	NA	0.0708183249	0.021	0.012	0.000	0.009
GABRA1	0.003	0.003	0.000	0.000	N	NA	0.0704006947	0.015	0.015	0.000	0.000
CACNA1B	0.012	0.012	0.000	0.000	N	NA	0.0658566624	0.015	0.015	0.000	0.000
PCDHB4	0.006	0.006	0.000	0.000	N	NA	0.0658359932	0.006	0.006	0.000	0.000
SYT1	0.003	0.003	0.000	0.000	N	NA	0.0643649408	0.006	0.003	0.000	0.003
HGF	0.003	0.003	0.000	0.000	N	NA	0.0640275968	0.018	0.006	0.000	0.012
LILRB3	0.006	0.006	0.000	0.000	N	NA	0.0623137554	0.012	0.009	0.000	0.003
HNRNPH3	0.003	0.003	0.000	0.000	N	NA	0.0608875774	0.021	0.003	0.018	0.000
GABRA6	0.003	0.003	0.000	0.000	N	NA	0.0602774036	0.027	0.027	0.000	0.000
PCDH9	0.003	0.000	0.003	0.000	N	NA	0.0569163041	0.015	0.012	0.003	0.000
KLC2	0.003	0.003	0.000	0.000	N	NA	0.0564775857	0.003	0.003	0.000	0.000
SRI	0.009	0.000	0.000	0.009	N	NA	0.0543890811	0.015	0.000	0.000	0.015
KCNB2	0.009	0.009	0.000	0.000	N	NA	0.0523954300	0.015	0.015	0.000	0.000
PPP3CB	0.015	0.003	0.012	0.000	N	NA	0.0518116713	0.024	0.003	0.021	0.000
TJP1	0.006	0.006	0.000	0.000	N	NA	0.0517454154	0.009	0.006	0.003	0.000
TUBA3C	0.003	0.003	0.000	0.000	N	NA	0.0513906751	0.012	0.012	0.000	0.000
CD97	0.003	0.003	0.000	0.000	N	NA	0.0495609504	0.003	0.003	0.000	0.000
CELSR1	0.009	0.006	0.003	0.000	N	NA	0.0472858609	0.015	0.009	0.006	0.000
CHL1	0.009	0.009	0.000	0.000	N	NA	0.0461328845	0.021	0.021	0.000	0.000
PCDHB2	0.003	0.003	0.000	0.000	N	NA	0.0449687484	0.003	0.003	0.000	0.000
S100A8	0.006	0.003	0.000	0.003	N	NA	0.0444689920	0.009	0.006	0.000	0.003
ITGA7	0.003	0.003	0.000	0.000	N	NA	0.0414421343	0.006	0.003	0.000	0.003
SHANK3	0.006	0.006	0.000	0.000	N	NA	0.0413287707	0.006	0.006	0.000	0.000
KCNH1	0.006	0.006	0.000	0.000	N	NA	0.0404112555	0.012	0.009	0.003	0.000
FRYL	0.003	0.003	0.000	0.000	N	NA	0.0398814411	0.009	0.009	0.000	0.000
ADCY9	0.003	0.003	0.000	0.000	N	NA	0.0396028512	0.009	0.009	0.000	0.000
RALGDS	0.003	0.003	0.000	0.000	Y	NA	0.0395739232	0.006	0.006	0.000	0.000
PCDHB13	0.006	0.006	0.000	0.000	N	NA	0.0395648370	0.012	0.012	0.000	0.000
KCNB1	0.006	0.006	0.000	0.000	N	NA	0.0393887191	0.006	0.006	0.000	0.000
SMARCA2	0.003	0.003	0.000	0.000	N	NA	0.0391540467	0.021	0.009	0.012	0.000
GLIS1	0.003	0.003	0.000	0.000	N	NA	0.0389912426	0.009	0.009	0.000	0.000
RASSF5	0.003	0.003	0.000	0.003	N	NA	0.0387850903	0.003	0.003	0.000	0.003
NCL	0.003	0.003	0.000	0.000	N	NA	0.0377342217	0.003	0.003	0.000	0.000
KCNG1	0.006	0.006	0.000	0.000	N	NA	0.0354559921	0.012	0.012	0.000	0.000
LRP8	0.003	0.003	0.000	0.000	N	NA	0.0344269252	0.003	0.003	0.000	0.000
CDH20	0.003	0.000	0.003	0.000	N	NA	0.0339507535	0.003	0.000	0.003	0.000
PCDHB6	0.006	0.006	0.000	0.000	N	NA	0.0337396637	0.006	0.006	0.000	0.000
VAMP1	0.003	0.000	0.000	0.003	N	NA	0.0337137768	0.006	0.000	0.000	0.006
MSH6	0.003	0.003	0.000	0.000	Y	NA	0.0332569713	0.018	0.018	0.000	0.000
STXBP1	0.003	0.003	0.000	0.000	N	NA	0.0326848947	0.006	0.006	0.000	0.000
DBF4	0.003	0.000	0.000	0.003	N	NA	0.0325976381	0.012	0.000	0.000	0.012
EEF1A1	0.009	0.009	0.000	0.000	N	NA	0.0324085028	0.012	0.012	0.000	0.000
DBNL	0.006	0.000	0.000	0.006	N	NA	0.0315178381	0.018	0.000	0.000	0.018
SVEP1	0.006	0.006	0.000	0.000	N	NA	0.0315170287	0.012	0.012	0.000	0.000
ACAN	0.003	0.003	0.000	0.000	N	NA	0.0313414850	0.012	0.012	0.000	0.000
DCHS1	0.006	0.006	0.000	0.000	N	NA	0.0312026713	0.006	0.006	0.000	0.000
PCDH7	0.003	0.003	0.000	0.000	N	NA	0.0308014473	0.012	0.012	0.000	0.000
NCAPG	0.003	0.003	0.000	0.000	N	NA	0.0303453095	0.009	0.009	0.000	0.000
DNM1L	0.003	0.000	0.000	0.003	N	NA	0.0296060400	0.009	0.000	0.003	0.006
CDH19	0.006	0.006	0.000	0.000	N	NA	0.0294282817	0.006	0.006	0.000	0.000
KCNS3	0.006	0.003	0.000	0.003	N	NA	0.0290097061	0.009	0.003	0.000	0.006
TCF12	0.003	0.003	0.000	0.000	Y	NA	0.0279994072	0.012	0.012	0.000	0.000
RAD21	0.003	0.003	0.000	0.000	N	NA	0.0277844185	0.003	0.003	0.000	0.000
RNF8	0.003	0.003	0.000	0.000	N	NA	0.0267946741	0.006	0.003	0.000	0.003
RYR1	0.003	0.003	0.000	0.000	N	NA	0.0266995265	0.015	0.015	0.000	0.000
ZNF212	0.009	0.000	0.000	0.009	N	NA	0.0266171200	0.012	0.000	0.000	0.012
KIFC3	0.003	0.003	0.000	0.000	N	NA	0.0266056509	0.003	0.003	0.000	0.000
TRPV6	0.006	0.006	0.000	0.000	N	NA	0.0258783246	0.024	0.021	0.000	0.006
MNDA	0.003	0.003	0.000	0.000	N	NA	0.0255816733	0.006	0.003	0.000	0.003
NF1	0.009	0.009	0.000	0.000	Y	NA	0.0254003493	0.095	0.095	0.000	0.000
NDN	0.003	0.003	0.000	0.000	N	NA	0.0250571537	0.006	0.006	0.000	0.000
COL11A2	0.003	0.003	0.000	0.000	N	NA	0.0243317809	0.018	0.018	0.000	0.000
KCNA4	0.006	0.006	0.000	0.000	N	NA	0.0239448395	0.006	0.006	0.000	0.000
CNKSR2	0.003	0.003	0.000	0.000	N	NA	0.0235246567	0.006	0.006	0.000	0.000
SLIT3	0.006	0.006	0.000	0.000	N	NA	0.0231493422	0.030	0.030	0.000	0.000
DLG1	0.003	0.003	0.000	0.000	N	NA	0.0230013723	0.003	0.003	0.000	0.000
CELSR3	0.006	0.006	0.000	0.000	N	NA	0.0227818728	0.012	0.012	0.000	0.000
ADCY2	0.006	0.006	0.000	0.000	N	NA	0.0217335387	0.009	0.009	0.000	0.000
CDH17	0.003	0.000	0.000	0.003	N	NA	0.0216220698	0.003	0.000	0.000	0.003
RECQL5	0.003	0.003	0.000	0.000	N	NA	0.0216032819	0.012	0.009	0.000	0.003
CDH8	0.003	0.003	0.000	0.000	N	NA	0.0214301354	0.006	0.003	0.000	0.003
RRM2	0.003	0.003	0.000	0.000	N	NA	0.0212290379	0.006	0.003	0.000	0.003
CELSR2	0.003	0.003	0.000	0.000	N	NA	0.0212133284	0.003	0.003	0.000	0.000
KIF15	0.003	0.003	0.000	0.000	N	NA	0.0209547359	0.003	0.003	0.000	0.000
AKAP6	0.003	0.003	0.000	0.000	N	NA	0.0208838966	0.009	0.009	0.000	0.000
PPP1R1A	0.003	0.000	0.000	0.003	N	NA	0.0207843771	0.006	0.000	0.000	0.006
ACVR1B	0.003	0.000	0.000	0.003	N	NA	0.0207395955	0.003	0.000	0.000	0.003
FLNB	0.003	0.003	0.000	0.000	N	NA	0.0206658983	0.006	0.006	0.000	0.000
ATRX	0.003	0.003	0.000	0.000	Y	NA	0.0206035564	0.043	0.043	0.000	0.000
CDH22	0.003	0.003	0.000	0.000	N	NA	0.0203276333	0.003	0.003	0.000	0.000
CACNA1E	0.006	0.006	0.000	0.000	N	NA	0.0195658146	0.015	0.015	0.000	0.000
MACF1	0.006	0.006	0.000	0.000	N	NA	0.0192717772	0.024	0.024	0.000	0.000
KCNV1	0.003	0.003	0.000	0.000	N	NA	0.0190747367	0.009	0.006	0.000	0.003
SSRP1	0.003	0.003	0.000	0.000	N	NA	0.0190705753	0.003	0.003	0.000	0.000
HOXA2	0.003	0.000	0.000	0.003	N	NA	0.0189619649	0.015	0.003	0.000	0.012
ANK3	0.003	0.003	0.000	0.000	N	NA	0.0186625676	0.012	0.003	0.009	0.000
CDH9	0.006	0.006	0.000	0.000	N	NA	0.0185390148	0.021	0.021	0.000	0.000
TES	0.006	0.000	0.000	0.006	N	NA	0.0184755684	0.018	0.006	0.000	0.012
MVP	0.003	0.003	0.000	0.000	N	NA	0.0184460642	0.009	0.009	0.000	0.000
ADCY6	0.003	0.000	0.000	0.003	N	NA	0.0182112912	0.015	0.006	0.003	0.006
IL32	0.003	0.003	0.000	0.000	N	NA	0.0180972227	0.003	0.003	0.000	0.000
XIAP	0.003	0.000	0.003	0.000	N	NA	0.0177929603	0.003	0.000	0.003	0.000
CEP70	0.006	0.006	0.000	0.000	N	NA	0.0176616953	0.009	0.006	0.000	0.003
TPX2	0.003	0.003	0.000	0.000	N	NA	0.0172664682	0.003	0.003	0.000	0.000
RBMX	0.003	0.003	0.000	0.000	N	NA	0.0170395499	0.009	0.006	0.000	0.003
ELAVL1	0.003	0.003	0.000	0.000	N	NA	0.0170294222	0.003	0.003	0.000	0.000
MCM7	0.003	0.003	0.000	0.000	N	NA	0.0168981658	0.012	0.006	0.000	0.006
F8	0.006	0.006	0.000	0.000	N	NA	0.0164635548	0.015	0.015	0.000	0.000
CACNA1G	0.003	0.003	0.000	0.000	N	NA	0.0163626650	0.003	0.003	0.000	0.000
TYK2	0.006	0.006	0.000	0.000	N	NA	0.0163211147	0.012	0.009	0.000	0.003
WEE2	0.003	0.003	0.000	0.000	N	NA	0.0159454594	0.015	0.006	0.000	0.009
PIP5K1C	0.003	0.003	0.000	0.000	N	NA	0.0158659070	0.003	0.003	0.000	0.000
KCNV2	0.003	0.000	0.003	0.000	N	NA	0.0154805621	0.012	0.003	0.009	0.000
CUGBP2	0.003	0.000	0.000	0.003	N	NA	0.0153810581	0.012	0.000	0.009	0.003
NXF1	0.003	0.003	0.000	0.000	N	NA	0.0153383243	0.003	0.003	0.000	0.000
CDH13	0.003	0.003	0.000	0.000	N	NA	0.0139372148	0.006	0.006	0.000	0.000
DOCK1	0.003	0.003	0.000	0.000	N	NA	0.0130957946	0.030	0.012	0.018	0.000
DCHS2	0.003	0.003	0.000	0.000	N	NA	0.0119141127	0.015	0.015	0.000	0.000
PCDH11X	0.003	0.003	0.000	0.000	N	NA	0.0118453897	0.024	0.024	0.000	0.000
KCNJ4	0.003	0.000	0.003	0.000	N	NA	0.0116431382	0.003	0.000	0.003	0.000
SRPR	0.003	0.003	0.000	0.000	N	NA	0.0116245313	0.006	0.006	0.000	0.000
SHB	0.003	0.003	0.000	0.000	N	NA	0.0114046701	0.012	0.009	0.003	0.000
PCM1	0.003	0.003	0.000	0.000	Y	NA	0.0112160489	0.006	0.003	0.003	0.000
PCDH24	0.003	0.000	0.000	0.003	N	NA	0.0111746341	0.003	0.000	0.000	0.003
DYRK1B	0.003	0.000	0.000	0.003	N	NA	0.0111445574	0.003	0.000	0.000	0.003
TCF7L2	0.003	0.003	0.000	0.000	Y	NA	0.0110981544	0.021	0.006	0.015	0.000
BMPR1B	0.003	0.000	0.000	0.003	N	NA	0.0110227483	0.003	0.000	0.000	0.003
NLRP12	0.003	0.003	0.000	0.000	N	NA	0.0109346971	0.021	0.021	0.000	0.000
PSMA5	0.003	0.003	0.000	0.000	N	NA	0.0107573780	0.003	0.003	0.000	0.000
CEP63	0.003	0.003	0.000	0.000	N	NA	0.0106041350	0.009	0.006	0.003	0.000
FZD4	0.003	0.000	0.000	0.003	N	NA	0.0105837499	0.003	0.000	0.000	0.003
CSNK2B	0.003	0.000	0.003	0.000	N	NA	0.0105269165	0.009	0.003	0.003	0.003
FGF18	0.003	0.003	0.000	0.000	N	NA	0.0104235602	0.006	0.006	0.000	0.000
IKBKE	0.003	0.000	0.000	0.003	N	NA	0.0104079307	0.003	0.000	0.000	0.003
CIITA	0.003	0.003	0.000	0.000	Y	NA	0.0102689101	0.006	0.006	0.000	0.000
CHP2	0.003	0.003	0.000	0.000	N	NA	0.0102382804	0.006	0.006	0.000	0.000
RAD50	0.003	0.003	0.000	0.000	N	NA	0.0097438997	0.006	0.003	0.003	0.000
NOD1	0.003	0.000	0.000	0.003	N	NA	0.0097288966	0.021	0.006	0.000	0.015
MYOD1	0.003	0.003	0.000	0.000	N	NA	0.0097129416	0.003	0.003	0.000	0.000
CACNA1C	0.003	0.003	0.000	0.000	N	NA	0.0096344195	0.015	0.012	0.000	0.003
CTBP1	0.003	0.000	0.003	0.000	N	NA	0.0095831147	0.006	0.000	0.006	0.000
P2RX2	0.003	0.003	0.000	0.000	N	NA	0.0094206453	0.003	0.003	0.000	0.000
SDCCAG8	0.003	0.000	0.000	0.003	N	NA	0.0093626745	0.012	0.003	0.000	0.009
PPARG	0.003	0.003	0.000	0.000	Y	NA	0.0093547970	0.003	0.003	0.000	0.000
ADCY5	0.003	0.003	0.000	0.000	N	NA	0.0093415351	0.018	0.018	0.000	0.000
RBBP4	0.003	0.003	0.000	0.000	N	NA	0.0092637881	0.003	0.003	0.000	0.000
VASP	0.003	0.003	0.000	0.000	N	NA	0.0092538186	0.003	0.003	0.000	0.000
SFI1	0.003	0.000	0.003	0.000	N	NA	0.0091129299	0.012	0.006	0.006	0.000
APEX2	0.003	0.000	0.003	0.000	N	NA	0.0090898774	0.009	0.003	0.003	0.003
CSNK1G1	0.003	0.003	0.000	0.000	N	NA	0.0090672092	0.003	0.003	0.000	0.000
HSPA8	0.003	0.003	0.000	0.000	N	NA	0.0090502693	0.006	0.006	0.000	0.000
ZNF274	0.003	0.003	0.000	0.000	N	NA	0.0089835258	0.006	0.006	0.000	0.000
PCDHB5	0.003	0.003	0.000	0.000	N	NA	0.0089487234	0.006	0.006	0.000	0.000
PLCZ1	0.003	0.000	0.000	0.003	N	NA	0.0089477027	0.009	0.003	0.003	0.003
EZR	0.003	0.003	0.000	0.000	Y	NA	0.0088515470	0.012	0.012	0.000	0.000
TLE2	0.003	0.003	0.000	0.000	N	NA	0.0087496572	0.006	0.006	0.000	0.000
BTRC	0.003	0.003	0.000	0.000	N	NA	0.0086918223	0.015	0.003	0.012	0.000
CNTN1	0.003	0.000	0.003	0.000	N	NA	0.0086816343	0.006	0.003	0.003	0.000
POLA1	0.003	0.003	0.000	0.000	N	NA	0.0085885490	0.003	0.003	0.000	0.000
FZD10	0.003	0.000	0.003	0.000	N	NA	0.0085634436	0.012	0.009	0.003	0.000
MRE11A	0.003	0.003	0.000	0.000	N	NA	0.0084544282	0.003	0.003	0.000	0.000
MYST4	0.003	0.003	0.000	0.000	Y	NA	0.0084439792	0.030	0.009	0.021	0.000
FOXO3	0.003	0.000	0.000	0.003	N	NA	0.0084170816	0.009	0.003	0.003	0.003
GNA15	0.003	0.003	0.000	0.000	N	NA	0.0082908175	0.003	0.003	0.000	0.000
AHR	0.003	0.003	0.000	0.000	N	NA	0.0082726183	0.021	0.012	0.000	0.009
RUVBL2	0.003	0.003	0.000	0.000	N	NA	0.0080815711	0.006	0.006	0.000	0.000
PRKCQ	0.003	0.003	0.000	0.000	N	NA	0.0080020617	0.015	0.003	0.009	0.003
IL12B	0.003	0.003	0.000	0.000	N	NA	0.0079262257	0.003	0.003	0.000	0.000
CTDSP2	0.003	0.000	0.000	0.003	N	NA	0.0078331225	0.095	0.003	0.000	0.091
PIK3R5	0.003	0.003	0.000	0.000	N	NA	0.0078298862	0.003	0.003	0.000	0.000
MYBL1	0.003	0.003	0.000	0.000	N	NA	0.0078105414	0.003	0.003	0.000	0.000
DOCK2	0.003	0.003	0.000	0.000	N	NA	0.0076818803	0.018	0.018	0.000	0.000
PDGFD	0.003	0.003	0.000	0.000	N	NA	0.0076558118	0.006	0.006	0.000	0.000
TGFBR1	0.003	0.003	0.000	0.000	N	NA	0.0076312092	0.006	0.006	0.000	0.000
GLI2	0.003	0.003	0.000	0.000	N	NA	0.0076305574	0.003	0.003	0.000	0.000
