A1CF	MNT
CEP63	MCHR1
CEP70	NCOR1
CEP72	MMP17
CEP76	OSR1
CEP78	STX17
CER1	RPS9
CES1	TBRG4
CETN2	OR5M10
CETN3	OR2F2
CETP	TBPL2
CFB	GNRHR
CFD	EIF2C3
CFDP1	ALDH3A2
CFH	CDC42EP4
CFHR1	BRF2
CFHR3	NELL1
CFHR4	ASCC3
CFHR5	KIR2DS3
CFI	C-BAS/HAS
CFL1	PLSCR3
CFL2	IGFBP7
CFLAR	ZMIZ2
CFP	ADAMTS2
CFTR	MVD
CGA	HMX1
CGGBP1	FSTL1
CGN	CHMP4A
CHAD	CEBPB
CHAF1A	TAX1BP3
CHAF1B	TCEB3B
CHD1	BAD
CHD1L	CYBB
CHD2	FASLG
CHD3	NLK
CHD4	TRPV5
CHD5	FCHSD2
CHD6	FARP2
CHD7	IFT172
CHD8	ALG11
CHD9	TRIP12
CHEK1	STT3A
CHEK2	ZNF492
CHGA	ERCC2
CHI3L1	PAPPA
CHI3L2	ARD1A
CHIA	MYF6
CHIT1	KIF1B
CHKA	PMS2L12
CHL1	HTR6
CHM	EPHB1
CHML	CHAD
CHMP1A	SHD
CHMP1B	TUBB
CHMP2A	NR2F2
CHMP2B	CEACAM3
CHMP4A	RAB3GAP1
CHMP4C	SMARCA5
CHMP5	GRIN2D
CHMP6	SPCS3
CHN1	OR2D2
CHN2	PPEF1
CHP	IL32
CHP2	PPP1R1A
CHRD	BIN3
CHRDL1	TFIP11
CHRDL2	OR2C3
CHRM2	ARRB1
CHRM3	GDI2
CHRM4	PTGDS2
CHRM5	LRRC7
CHRNA1	SNRPB
CHRNA2	CREBBP
CHRNA3	TRPV4
CHRNA4	NR2C1
CHRNA5	ADA
CHRNA6	RASA2
CHRNA7	F13A1
CHRNB1	RPL7A
CHRNB2	COX5B
CHRNB3	INS
CHRNB4	ONECUT2
CHRND	RBM5
CHRNE	P2RY4
CHRNG	ECHS1
CHST4	SUPT7L
CHUK	FOSB
CIAO1	CKS1B
CIB1	EYA3
CIB2	KRR1
CIC	NDRG2
CIDEA	LDLRAP1
CIDEB	ZNF763
CIITA	RBM17
CIR	OR51E1
CIRBP	DCTN6
CISH	MTA2
CIT	TWIST2
CITED1	SPRR1A
CITED2	TAF1B
CKAP5	DEAF1
CKB	POLR2G
CKM	WNT11
CKMT2	C8A
CKS1B	SIVA1
CKS2	SEC61G
CLASP1	ABCA7
CLASP2	ZBTB32
CLCA1	WASF1
CLCA2	QARS
CLCA4	CLDN17
CLCF1	SCN2A
CLCN1	PRAF2
CLCN2	FDXR
CLCN3	RPL15
CLCN4	TRDN
CLCN5	SMG5
CLDN1	PDIA4
CLDN10	AP1B1
CLDN11	APEX2
CLDN14	SPRR3
CLDN15	RPS29
CLDN16	EIF2B2
CLDN17	CMTM2
CLDN18	EIF3H
CLDN20	HOXA10
CLDN23	DKK3
CLDN3	OR2T1
CLDN4	DST
CLDN5	PHKG2
CLDN6	PRDX6
CLDN7	OR10V1
CLDN8	RAPGEF2
CLDN9	FLT3LG
CLEC10A	TERF1
CLEC11A	MSTN
CLEC3B	HNRNPA3
CLEC4M	ITPKA
CLEC5A	NDUFA11
CLIC1	CITED4
CLIC2	ZNF259
CLIC5	OR2W3
CLINT1	SOX17
CLIP1	ZNF717
CLK1	DLL4
CLK2	CNTN6
CLK3	SERPINC1
CLK4	DLGAP3
CLNS1A	FIS1
CLOCK	POLRMT
CLP1	MAD2L1
CLPP	ST8SIA2
CLPS	ADAM33
CLPX	OR10AD1
CLSPN	RAB31
CLSTN1	PABPC1
CLSTN2	PIGP
CLSTN3	SKIP
CLTA	LMLN
CLTB	ARAF
CLTC	OR4F5
CLTCL1	ATP8B4
CLU	FREQ
CMA1	MARK1
CMTM2	ZNF587
CNBP	CEACAM1
CNDP1	MLF1
CNDP2	BHLHB3
CNGA1	PRG2
CNGA2	MEN1
CNGA3	MYT1
CNGA4	PTPRC
CNGB1	VEZT
CNGB3	RPS12
CNKSR1	DGCR8
CNKSR2	DNAJA1
CNN1	ZNF224
CNN3	TTR
CNOT1	ERBB2
CNOT2	OR1L3
CNOT3	IL2
CNOT4	NDRG4
CNOT6	EDNRA
CNOT7	NRAS
CNOT8	MAPKAPK2
CNR1	CREBZF
CNR2	EZH1
CNTFR	PPRC1
CNTN1	ACOX2
CNTN2	ITGB3
CNTN3	RARG
CNTN4	SERPINB13
CNTN5	EIF5B
CNTN6	PDGFRB
CNTNAP1	CYP17A1
CNTNAP2	UROD
CNTNAP3	DAZL
CNTNAP3B	ZNF404
CNTNAP4	TUBA3E
CNTNAP5	CEP76
COG2	ZNF730
COG4	MMP8
COG5	EXOC8
COG6	KCNA3
COG7	CEP57
COIL	OR2T35
COL10A1	PRDX3
COL11A1	MAFA
COL11A2	ZNF721
COL12A1	EIF2C1
COL13A1	SULT1A3
COL14A1	RPL28
COL15A1	TRIM55
COL16A1	VANGL2
COL17A1	AKR7A3
COL18A1	ZNF808
COL19A1	FBXO9
COL1A1	MYD88
COL1A2	ODZ2
COL20A1	APOBEC2
COL22A1	ARHE
COL27A1	ZNF765
COL2A1	ZNF816A
COL3A1	ZWINT
COL4A1	SOS1
COL4A2	ZNF98
COL4A3	SLC11A1
COL4A3BP	XPNPEP1
COL4A4	FBN2
COL4A5	DNER
COL4A6	RAET1E
COL5A1	CITED1
COL5A2	LGALS3
COL5A3	TAS2R60
COL6A1	MPO
COL6A2	CCL3L1
COL6A3	CTGF
COL6A6	CLOCK
COL7A1	DAB2
COL8A1	SR140
COL8A2	ACTR1A
COL9A1	MARCKSL1
COL9A2	POMT2
COL9A3	TMEM123
COLQ	GALNS
COMMD8	LOX
COMP	ANKRD13D
COPA	ANKZF1
COPB1	HLA-F
COPB2	NPHS2
COPE	PEX26
COPG	POLR3A
COPG2	ABCD2
COPS2	GZMM
COPS3	PGM5
COPS4	SP7
COPS5	MX2
COPS6	CD163
COPS8	RGS16
COPZ1	SNCB
COPZ2	PLXNB1
COQ7	NACA
CORO1A	CLPP
CORO1C	ANAPC11
CORO2A	CLDN8
CORO2B	BCL2L7P1
CORO7	SPTB
CORT	GNRHR2
COTL1	WDR6
COX4I1	MAST2
COX5A	EBF1
COX5B	PANX1
COX6A1	ZNF425
COX6A2	EMP3
COX6B1	MS4A1
COX6C	F2RL1
COX7A1	PLAGL1
COX7A2L	LAMA2
COX7B	HCRTR2
COX7C	METTL3
COX8A	EDNRB
CP	LRP12
CPA1	PCDHGA12
CPA2	ABCB9
CPA3	OR52M1
CPA4	LPXN
CPA5	FRZB
CPB1	UMPS
CPB2	TFF3
CPD	USH1G
CPE	SEC14L3
CPEB1	GNAT1
CPLX2	PCCB
CPM	ZNF805
CPNE1	SOS2
CPO	ARPC2
CPOX	CD2BP2
CPS1	LHX4
CPSF1	FZD9
CPSF4	AP3B2
CPSF6	F3
CPT1A	POLR2F
CPT1B	SLC6A4
CPT1C	ACCN3
CPT2	P4HA1
CPXM2	CPO
CR1	MAP2K5
CR2	PDCD6IP
CRABP1	CHEK2
CRABP2	DKFZP564A247
CRADD	ST8SIA4
CREB1	RAMP2
CREB3	EBNA1BP2
CREB3L1	ZNF554
CREB3L2	TUBB6
CREB3L3	RPL27A
CREB3L4	NR1H2
CREB5	SSRP1
CREBBP	PLIN
CREBZF	MET
CREM	CD70
CRH	ATIC
CRHBP	ZNF669
CRHR1	SBF1
CRHR2	ARSB
CRIM1	ZNF681
CRIP1	ACTN2
CRIP2	PRM1
CRIPAK	TPM1
CRK	ARHGEF11
CRKL	ZSCAN12
CRLF1	WNT4
CRLF3	ZFP28
CRMP1	ECE2
CRNKL1	SPOCK2
CROP	PRMT2
CRP	C8B
CRTAM	SEC22B
CRX	DYNC1LI1
CRY1	POU3F3
CRY2	JUND
CRYAA	CLP1
CRYAB	GNAI3
CRYBB2	NT5E
CRYGC	MXRA8
CRYZ	NRG2
CS	CRADD
CSDA	ZNF556
CSDE1	NAP1L4
CSE1L	HLA-J
CSF1	BFAR
CSF1R	ADAMTS10
CSF2	KRT6B
CSF2RB	DKC1
CSF3	PFKFB3
CSF3R	BMP8B
CSH1	CNGA4
CSK	TNFRSF9
CSN2	PAIP1
CSNK1A1	MMP27
CSNK1D	CNOT6L
CSNK1E	TMBIM6
CSNK1G1	TBX20
CSNK1G2	RGR
CSNK1G3	UPK2
CSNK2A1	SEL1L
CSNK2A2	RAP2B
CSNK2B	GMPPB
CSPG4	ENDOG
CSRNP2	RRH
CSRNP3	MIZF
CSRP1	CPB2
CSRP2	AGAP3
CSRP3	SERPINF2
CST3	PPT1
CST5	CXXC1
CST7	ZNF284
CSTA	NUPL2
CSTB	OR8I2
CSTF1	ACAP1
CSTF2	HOMER3
CSTF2T	DNAJC3
CSTF3	MARCH7
CTBP1	RTN1
CTBP2	CBX5
CTCF	DEFB4
CTDP1	DPT
CTDSP1	SLC6A3
CTDSP2	OR2T34
CTDSPL	ZNF610
CTF1	KLF15
CTGF	NOX1
CTLA4	DHODH
CTNNA1	UTS2
CTNNA2	LNX1
CTNNA3	ACTL6A
CTNNAL1	PRF1
CTNNB1	B2M
CTNNBIP1	LNX2
CTNND1	SFTPB
CTNND2	PAK3
CTPS	KCNH4
CTPS2	FUS
CTRB1	PDHA2
CTRC	UHRF1
CTSB	ZNF432
CTSC	SSTR5
CTSD	LRRFIP1
CTSF	DISC1
CTSG	OR6S1
CTSH	PCDH21
CTSK	NAE1
CTSL1	OR5AC2
CTSL2	FCGRT
CTSS	ARMS
CTSZ	RBM9
CTTN	TRIM2
CTTNBP2	IGLV3-16
CUBN	PRKACG
CUGBP1	PSMC5
CUGBP2	GTF2I
CUL1	ACOX1
CUL2	SCN5A
CUL3	DOCK10
CUL4A	TXNDC5
CUL4B	SFTPA1
CUL5	LCT
CUL7	POU2F3
CUX1	GOLGA8B
CX3CL1	PCDHB11
CX3CR1	RAC1
CXADR	OR6B2
CXCL1	PDIA6
CXCL10	MCCC1
CXCL11	SFRS4
CXCL12	FBXL10
CXCL13	TYMS
CXCL2	KLK6
CXCL3	SEC24B
CXCL5	OR2V2
CXCL6	TSEN2
CXCL9	TNNC2
CXCR3	LSM4
CXCR4	CTSZ
CXCR6	SOCS4
CXCR7	SDCBP
CXXC1	RPA2
CXXC4	ACAD8
CYB5A	OR4F4
CYB5R3	NEF3
CYBA	TRIO
CYBB	PLXNA4
CYC1	PAX8
CYCS	WNK1
CYFIP1	GRK1
CYFIP2	RNF25
CYLC2	USP18
CYLD	VSX2
CYP11A1	HMGCR
CYP11B1	KCNN2
CYP11B2	RBM22
CYP17A1	AXIN1
CYP19A1	MERTK
CYP1A1	HOMER1
CYP1A2	GPR161
CYP1B1	MAP2K3
CYP21A2	PCDHA10
CYP24A1	OR1B1
CYP27A1	KIR2DL2
CYP27B1	MAST1
CYP2A13	PTPN5
CYP2A6	UBXN4
CYP2B6	TLR10
CYP2C18	SETMAR
CYP2C19	PREY
CYP2C8	CCR8
CYP2C9	RAD23B
CYP2D6	ZNF283
CYP2E1	PCGF6
CYP2J2	EPHB4
CYP3A4	ZNF396
CYP3A43	MCM3
CYP3A5	FAM120B
CYP3A7	DKFZP434N181
CYP4A11	CLTB
CYP51A1	ZNF585B
CYP7A1	MSH2
CYP7B1	BMP3
CYP8B1	PCSK6
CYR61	IGFBP4
CYSLTR2	NCAPH
CYTH4	ALAD
DAAM1	VIPR1
DAAM2	PCCA
DAB1	CSNK1D
DAB2	TRRAP
DACH1	PRKD3
DACT1	TJP3
DAD1	ZNF292
DAG1	OR6N1
DAO	HRG
DAP	CSK
DAP3	TAC1
DAPK1	SFI1
DAPK2	EFTUD2
DAPK3	UNG
DAPP1	NUPR1
DARC	KLF9
DARS	E2F4
DAXX	RPP25
DAZ1	ATP5H
DAZ4	TAGAP
DAZAP1	PARP9
DAZL	KIAA0776
DBF4	AKR1C3
DBH	ARHGAP30
DBI	HOXD4
DBNL	ZBTB43
DBP	OR2J2
DBT	XPO6
DCBLD1	ZNF233
DCC	MED20
DCHS1	TNFRSF12A
DCHS2	XRCC1
DCI	RAD51AP1
DCK	RCOR1
DCLK1	LTC4S
DCLRE1A	TFF1
DCLRE1C	S100A13
DCN	TUBGCP5
DCP1A	SPATA5
DCP1B	SPCS2
DCP2	CIB1
DCT	CD226
DCTN1	TNPO3
DCTN2	ERGIC1
DCTN3	NRIP1
DCTN6	DLG3
DCX	ELK4
DCXR	PRCC
DDAH1	GRM4
DDAH2	KIAA0053
DDB1	DDX17
DDB2	USP34
DDC	DKFZP781K0743
DDIT3	MPG
DDIT4	UPK1A
DDOST	SFRS8
DDR1	PSMB11
DDR2	SOD3
DDX1	KLK2
DDX10	CDYL
DDX17	MSH3
DDX18	MRPL23
DDX20	CDK5
DDX23	INHBB
DDX24	FOXC1
DDX39	CHI3L1
DDX3X	OR1L1
DDX3Y	ZNF624
DDX4	NAP1L1
DDX41	RAP2C
DDX42	FTHL19
DDX43	SLN
DDX46	HCRT
DDX5	TRPM6
DDX50	PCDH24
DDX53	IRAK2
DDX54	DNAJB13
DDX56	ZNF514
DDX58	OR13C9
DEAF1	H2AFJ
DEC1	RPS24
DECR1	SERPIND1
DEDD	CAPN10
DEDD2	S100A12
DEFA3	TAS2R50
DEFA4	BRUNOL5
DEFB1	SDHB
DEFB103A	KIF5C
DEFB4	NTN4
DEK	PPIE
DEPDC7	RAB3IP
DERL1	NPPA
DES	SEPT13
DET1	PTPN21
DFFA	PAH
DFFB	MMP16
DGCR8	TPX2
DGKA	MAS1
DGKB	NNMT
DGKD	C5
DGKE	LOR
DGKG	NUP62
DGKI	ELA2A
DGKQ	OR1L6
DGKZ	HP1BP3
DGUOK	F2R
DHCR24	TOM1L1
DHFR	SNX17
DHH	HLA-A
DHODH	FRAT2
DHPS	RABGEF1
DHRS2	SLC12A4
DHTKD1	KCNIP3
DHX15	EIF2AK3
DHX16	AP4M1
DHX35	LDB1
DHX37	MFNG
DHX38	UBE2D4
DHX40	FZD1
DHX57	GRB14
DHX8	GUSBP1
DHX9	MOG
DIABLO	ZFHX3
DIAPH1	TNFRSF8
DIAPH2	RBP1
DIAPH3	TUB
DICER1	PI4KB
DIP2A	CCK
DIRAS2	OPRM1
DIRAS3	TP53I3
DIS3	TNK2
DISC1	SNX4
DISP1	MMP10
DIXDC1	PPP2CB
DKC1	APBA1
DKK1	CDX1
DKK2	APCS
DKK3	MBTPS1
DKK4	GRK6
DLAT	ATP5G2
DLC1	ELMO2
DLD	ESR1
DLEU1	USP14
DLG1	PDE1C
DLG2	ACSS1
DLG3	OR6M1
DLG4	TAS2R1
DLG5	NAP1L2
DLGAP1	SCGB1A1
DLGAP2	SSR3
DLGAP4	RAD9A
DLGAP5	PLCG1
DLK1	GNAI1
DLL1	CAD
DLL3	DEFA4
DLST	TARBP2
DLX2	PANX2
DLX4	ATP6V1E1
DLX5	SP110
DLX6	NCL
DMAP1	MYO16
DMBT1	RAB2A
DMC1	KRT72
DMD	POLL
DMP1	TBKBP1
DMPK	FBXO5
DMTF1	ARHGDIB
DNA2	DKFZP781N011
DNAH1	KPNA5
DNAH10	CLDN2
DNAH11	IL9
DNAH2	CHRNA4
DNAH3	FH
DNAH5	SIM1
DNAH6	HTRA2
DNAH7	CDH24
DNAH8	PRIC285
DNAH9	TNKS
DNAI1	NIM1
DNAI2	ELAVL1
DNAJA1	KIAA1967
DNAJA2	TROVE2
DNAJA3	ZSCAN10
DNAJA4	REC8
DNAJB1	DDAH2
DNAJB11	INADL
DNAJB4	MARS
DNAJB5	PHKA1
DNAJB6	SNX9
DNAJB9	SFPQ
DNAJC14	PPM1F
DNAJC2	FGFBP1
DNAJC3	FCER2
DNAJC6	LAT
DNAJC8	ILVBL
DNAL4	CD38
DNASE1	CD86
DNASE2	UPF3B
DNM1	C6
DNM1L	SMS
DNM2	EIF4E1B
DNM3	MAP2K6
DNMBP	PPP2R5B
DNMT1	ZNF684
DNMT3A	MED7
DNMT3B	CD47
DNMT3L	ALS2
DNTT	EIF4H
DNTTIP2	SOX11
DOC2A	EGLN2
DOCK1	SPRY2
DOCK10	MAFB
DOCK2	KLF6
DOCK3	SHANK2
DOCK7	OR51A2
DOHH	MADCAM1
DOK1	DYNC2H1
DOK2	IFNK
DOK3	HMGCS1
DOK4	THOC4
DOK5	HR
DOK6	SAFB2
DPAGT1	GABRA5
DPF2	FBXO15
DPM1	ZFP90
DPM2	HIGD1A
DPM3	HOXB3
DPP4	PSIP1
DPT	SAP25
DPYS	COL14A1
DPYSL2	GIF
DPYSL3	CCL27
DPYSL4	MTNR1A
DPYSL5	TBR1
DR1	EFNA4
DRAP1	PLAUR
DRD1	RAE1
DRD2	GDF9
DRD3	MAP3K12
DRD4	CABLES1
DRD5	EHMT1
DRG1	GNG5
DRP2	STAT1
DSC1	ADAM17
DSC2	ZNF697
DSC3	SCNN1D
DSCAM	RHOF
DSG1	RHOG
DSG2	MAP1S
DSG3	WAS
DSN1	ARR3
DSP	FAM162A
DSPP	PLA2G6
DST	PRPH2
DSTN	ZNF776
DTL	PIGT
DTNA	UNC13C
DTNB	CST3
DTX1	COL27A1
DTX2	CDK9
DTX3	BRCC3
DTX3L	IRAK4
DTX4	BMP6
DUOX1	ARPC5
DUS1L	ITCH
DUSP1	FANCM
DUSP10	GP5
DUSP11	SEMA4B
DUSP12	ARL1
DUSP14	NFASC
DUSP16	HOXA13
DUSP18	MDC1
DUSP2	CHDH
DUSP21	ITPK1
DUSP3	DKFZP779C1668
DUSP4	HIP1R
DUSP5	ALAS1
DUSP6	EIF1B
DUSP8	FGF17
DUSP9	HIST1H2AG
DUT	CTF1
DVL1	GTF2F1
DVL2	ILP3
DVL3	ZFAND5
DYNC1H1	PTPRA
DYNC1I1	OR51B6
DYNC1I2	OSTF1
DYNC1LI1	BRCA2
DYNC1LI2	ZNF317
DYNC2H1	MT-ND6
DYNLL1	ZNF101
DYNLRB1	ZNF652
DYNLT1	ACAP2
DYRK1A	ADCY8
DYRK1B	SUPT3H
DYX1C1	FBLN2
DZIP1	OR8A1
E2F1	PSMD1
E2F2	SCGB1D1
E2F3	TAAR2
E2F4	CPA1
E2F5	FABP1
E2F6	GPS2
E2F7	MYLK2
E4F1	REEP5
EAF2	APBB2
EBF1	HCST
EBF2	UQCR
EBF3	BACH2
EBI3	EPOR
EBNA1BP2	PIGM
ECD	ITGB2
ECE1	GALR3
ECE2	USP15
ECEL1	CD63
ECH1	PCBP1
ECHS1	HIF1A
ECM1	TAF7L
ECSIT	LYN
ECT2	CASP1
EDA	HOXC13
EDA2R	P2RX3
EDAR	ZNF680
EDARADD	GOLPH3
EDEM1	ATP1A1
EDF1	CETP
EDIL3	JPH2
EDN1	PMPCB
EDN2	PSMA5
EDN3	CAMK2D
EDNRA	TIMM8B
EDNRB	PIK3R1
EEA1	ATP2B4
EED	EP300
EEF1A1	GPC3
EEF1A2	ACTN3
EEF1D	CASP10
EEF1E1	PDK1
EEF1G	OR51E2
EEF2	TAS2R7
EFEMP1	C4ORF43
EFEMP2	ZNF20
EFHA1	ARMC6
EFHD1	RPL36A
EFNA1	SMARCD2
EFNA2	ACADM
EFNA3	CSE1L
EFNA4	PMCH
EFNA5	LST1
EFNB1	SERPINE2
EFNB2	TNIK
EFNB3	HCFC2
EFS	STAG2
EGF	EFNB1
EGFL7	EIF5
EGFR	MATN1
EGLN1	DCXR
EGLN2	SMARCD1
EGLN3	GNG3
EGR1	GPR45
EGR2	MIP
EGR3	F2RL3
EGR4	KCNH7
EHD1	MAVS
EHD3	RAD50
EHD4	SPATA5L1
EHF	ZNF491
EHHADH	WUGSC:H_LUCA15.1
EHMT1	SPINT2
EHMT2	SRY
EI24	RAG2
EID1	NDUFB4
EIF1	ZNF812
EIF1AX	ASPH
EIF1B	VANGL1
EIF2AK1	BAG4
EIF2AK2	FBXO11
EIF2AK3	GJB2
EIF2AK4	EXOSC9
EIF2B1	PRKAR1B
EIF2B2	MAP2
EIF2B3	SPTLC3
EIF2B4	CLNS1A
EIF2B5	SNURF
EIF2C1	PTPN3
EIF2C3	OR6T1
EIF2C4	BTBD1
EIF2S1	CDH2
EIF2S2	ATF6B
EIF2S3	ERBB2IP
EIF3A	VGLL4
EIF3B	DKFZP686B18150
EIF3C	CNTNAP3B
EIF3D	SORBS1
EIF3E	VAMP1
EIF3F	FPR3
EIF3G	RNF13
EIF3H	GOLGA3
EIF3I	P2RY2
EIF3J	PLCG1 VARIANT PROTEIN
EIF3K	PINX1
EIF3M	OR51A4
EIF4A1	PIGR
EIF4A2	LHX3
EIF4A3	NUP85
EIF4B	PRKCE
EIF4E	RBM4
EIF4E1B	COL17A1
EIF4E2	HBZ
EIF4EBP1	CDX2
EIF4EBP2	ST14
EIF4ENIF1	CREB3L3
EIF4G1	CHMP6
EIF4G2	HLA-E
EIF4G3	POM121
EIF4H	MIS12
EIF5	NCOA5
EIF5A	FKBP1A
EIF5A2	OR2T4
EIF5AL1	TLE4
EIF5B	NUP160
EIF6	PIN1
ELA1	ZNF285A
ELA2	RAGE
ELA2A	TNFRSF10B
ELA2B	CD83
ELA3B	ACAA2
ELAVL1	SEPT7
ELAVL2	TXN
ELAVL3	OR6B1
ELAVL4	CXCR4
ELF1	PARD3B
ELF2	JARID1D
ELF3	CCT6B
ELF4	CCNA1
ELF5	IL6R
ELK1	IPO7
ELK3	PDE1B
ELK4	CDK6
ELL	CUL4A
ELL2	OR3A3
ELMO1	FOS
ELMO2	ARFGEF2
ELN	NDUFS4
ELP2	CORO2B
ELP4	ZIM3
ELSPBP1	KLHL12
EMD	PKN1
EMID1	LY6H
EMID2	DUOX1
EMILIN1	PRIM2
EML4	PTBP1
EMP3	HSPH1
EMX2	HOXA11
EN1	HOXB1
EN2	TAS2R46
ENAH	PFKFB2
ENG	SPHK2
ENO1	IL11
ENO2	GRAP2
ENO3	PFKFB1
ENOX1	RAB23
ENOX2	PDS5B
ENPEP	ELF5
ENPP1	HIPK4
ENPP2	ITGA9
ENSA	KCNIP2
EP300	NOTCH4
EP400	MIB1
EPAS1	PTRF
EPB41	TNNI2
EPB41L1	CNTNAP2
EPB41L3	SYN3
EPB42	PCDHB12
EPB49	LRRC1
EPC1	ITGB1BP1
EPHA1	KCNIP4
EPHA2	CYP2C9
EPHA3	ERGIC3
EPHA4	TERF2IP
EPHA5	GRIA3
EPHA6	XPC
EPHA7	PTGES3
EPHA8	EEF2
EPHB1	APOBEC3G
EPHB2	TCIRG1
EPHB3	APOC2
EPHB4	NDUFA6
EPHB6	GRASP
EPN1	VPS28
EPO	KIF2B
EPOR	NOL5A
EPPK1	FIZ1
EPRS	SPRY1
EPS15	CD21
EPS15L1	ATP6V1H
EPS8	IGLV2-33
EPX	MTTP
ERBB2	GSTA1
ERBB2IP	GPI
ERBB3	S1PR2
ERBB4	ARID3C
ERC1	EIF2C4
ERCC1	ALDH5A1
ERCC2	ADH1B
ERCC3	CRYZ
ERCC4	RAD17
ERCC5	SAP30BP
ERCC6	IFNGR1
ERCC6L	LARP1
ERCC8	UBE2E3
EREG	CEP192
ERF	AP1G2
ERG	OR5M3
ERGIC1	FHL5
ERGIC3	TAS2R39
ERH	AMH
ERN1	TAF6
ERN2	ZNF716
ERO1L	MYH4
ERP29	LAX1
ERRFI1	TRIM26
ESPL1	HSPA8
ESR1	ITGAV
ESR2	CDH18
ESRRA	PSME3
ESRRB	ZNF768
ESRRG	AQP6
ETF1	MMP13
ETFA	GRSF1
ETFB	KRT32
ETFDH	EVL
ETS1	UBOX5
ETS2	RYBP
ETV1	TNFRSF11A
ETV3	PMPCA
ETV4	LMX1B
ETV5	CD46
ETV6	ABCC3
ETV7	GPX4
EVI1	PPP1R9A
EVI2B	RP2
EVI5	SEMG2
EVL	MKNK2
EVPL	DPYSL4
EVX1	ARPC1B
EWSR1	TPM2
EXO1	RUNX1
EXOC1	DBH
EXOC2	DNAJA3
EXOC3	NFE2L1
EXOC4	GNB1
EXOC5	IQGAP1
EXOC6	PRSS1
EXOC7	MUC1
EXOSC1	YWHAH
EXOSC10	BMP4
EXOSC2	TAL2
EXOSC3	MTCP1
EXOSC4	OR7A5
EXOSC5	PTTG1
EXOSC7	TRAPPC4
EXOSC8	RHAG
EXOSC9	ZNF44
EXT1	FCGR2A
EXT2	C1QA
EXTL1	CLDN22
EYA1	DTX3L
EYA2	ECH1
EYA3	RAD51L1
EYA4	KLRC3
EZH1	OR5H2
EZH2	GKAP1
EZR	UBE3C
F10	AICDA
F11	ATP1B1
F11R	CLDN15
F12	ADCY1
F13A1	HLA-G
F13B	RGS4
F2	ZNF221
F2R	PRPSAP1
F2RL1	CEBPG
F2RL2	PRPF3
F2RL3	PYGO2
F3	SMARCC1
F5	XCL2
F7	ICAM1
F8	ALPL
F9	BCL3
FABP1	MPHOSPH10
FABP2	ELK3
FABP3	S100Z
FABP4	KIR2DS4
FABP5	TBCC
FABP6	ALB
FADD	CCT8
FADS2	VPREB1
FAF1	ZNF157
FAH	IL13RA2
FAIM	EPHA1
FAIM2	LHX2
FAIM3	ICMT
FAM13A1	ZFP112
FAM96B	CEL
FANCA	MPP2
FANCB	GRK7
FANCC	CDC2L1
FANCD2	SYN1
FANCE	RBM7
FANCF	SNRNP40
FANCG	ATF2
FANCI	USF2
FANCM	ATP7A
FAP	SLTM
FAR2	RAP1A
FARP2	PCSK1N
FARSA	ZNF92
FAS	CRX
FASLG	MTHFD1
FASN	LYL1
FASTK	CNO
FAT1	UBE3A
FAT2	DHCR24
FAU	PICK1
FBL	ITGA6
FBLIM1	PICALM
FBLN1	HIST2H2BE
FBLN2	IL8RA
FBLN5	SERBP1
FBN1	TBL1X
FBN2	REG1A
FBP1	PDPR
FBP2	SPTBN4
FBXL10	KIAA1333
FBXL11	KIR2DL3
FBXL2	PLOD1
FBXL3	ADORA2A
FBXL4	UBXN10
FBXL5	CEP63
FBXL7	P2RX7
FBXL8	OR51G1
FBXO11	TRBV3-1
FBXO17	ZNF732
FBXO18	KIAA0391
FBXO2	MEF2A
FBXO25	EIF3I
FBXO3	ARHGAP20
FBXO30	DKFZP686C2469
FBXO34	ZNF69
FBXO41	OR9K2
FBXO44	ZNF484
FBXO5	TRAPPC2L
FBXO7	EXOC5
FBXO9	IGLV4-69
FBXW11	ZNF540
FBXW2	ADAM19
FBXW4	DKFZP686J01190
FBXW7	EPB41L1
FBXW8	NDUFA5
FCAR	EVI2B
FCER1A	PIK3C2A
FCER1G	SIRPA
FCER2	WNT6
FCGR1A	ARPC5L
FCGR2A	TROAP
FCGR2B	LIN7B
FCGR2C	STEAP3
FCGR3A	PRKAG3
FCGR3B	EDA
FCGRT	DAPK2
FCHSD2	EXOC3
FDPS	ARHGAP5
FDX1	RAB1A
FDXR	CD1E
FECH	EGR4
FEM1B	QDPR
FEN1	PAX3
FER	TRIM29
FER1L3	NUF2
FES	PAPSS1
FEV	HSPA1L
FEZ1	LATS2
FEZ2	ZNF329
FFAR1	RHOV
FFAR2	H1FOO
FFAR3	SYP
FGA	NPM1
FGB	ACTN4
FGD1	SEMA6A
FGD2	SEPT2
FGD3	TIMM17B
FGD4	KCNK12
FGF1	GPR31
FGF12	THOP1
FGF13	GRHL1
FGF14	NGFRAP1
FGF17	ZDHHC17
FGF18	OGDHL
FGF2	NFATC4
FGF20	IGFBP1
FGF21	PCDHB2
FGF22	FBXO18
FGF23	SOD1
FGF3	CCL20
FGF5	OR2M4
FGF6	RNASEN
FGF7	DUSP9
FGF8	VGLL1
FGF9	STMN2
FGFBP1	FGF20
FGFR1	HNF1A
FGFR1OP	NEDD9
FGFR2	GFRA1
FGFR3	DLAT
FGFR4	FOXK2
FGFRL1	SLC34A2
FGG	OR4C13
FGL1	ELP4
FGL2	STXBP4
FGR	FHOD1
FH	KLC1
FHL1	MGEA5
FHL2	SCNN1B
